1.6      8.00 -112.77485503 -112.75569805 -112.76723020 -112.76332287
1.6      9.00 -112.76908691 -112.75807078 -112.76740962 -112.75974807
1.6     10.00 -112.76762424 -112.75721978 -112.76736632 -112.75747770
1.6     12.00 -112.76727222 -112.75490758 -112.76726746 -112.75491235
1.6     14.00 -112.76723274 -112.75354080 -112.76723270 -112.75354084
1.6     16.00 -112.76721557 -112.75263391 -112.76721557 -112.75263391
1.6     18.00 -112.76720573 -112.75211900 -112.76720573 -112.75211900
1.6     20.00 -112.76719957 -112.75176905 -112.76719957 -112.75176905
          
1.7      2.10 -112.70449179 -112.06002859 -112.62137143 -112.14314894
1.7      2.20 -112.85317219 -112.21015593 -112.76889784 -112.29443028
1.7      2.30 -112.95985562 -112.31795436 -112.86441257 -112.41339740
1.7      2.40 -113.03610065 -112.39555538 -112.98433091 -112.44732512
1.7      2.50 -113.08962529 -112.44997577 -113.03701701 -112.50258405
1.7      2.60 -113.12639705 -112.48745369 -113.06943596 -112.54441478
1.7      2.70 -113.15070851 -112.51231933 -113.08830619 -112.57472165
1.7      2.80 -113.16571184 -112.52775263 -113.09729541 -112.59616906
1.7      2.90 -113.17374809 -112.53611918 -113.09904908 -112.61081819
1.7      3.00 -113.17657843 -112.53920223 -113.08029560 -112.63548506
1.7      3.10 -113.17554407 -112.53836233 -113.07290064 -112.64100577
1.7      3.20 -113.17167470 -112.53464638 -113.06285405 -112.64346702
1.7      3.30 -113.16412739 -112.52881352 -113.03647955 -112.65646136
1.7      3.40 -113.15683690 -112.55393579 -113.03079924 -112.67997345
1.7      3.50 -113.14856320 -112.57749860 -113.02459836 -112.70146345
1.7      3.60 -113.13964944 -112.59974691 -113.01817360 -112.72122274
1.7      3.70 -113.13035440 -112.62086217 -113.01169849 -112.73951808
1.7      3.80 -113.12087459 -112.64096080 -113.00536227 -112.75647312
1.7      3.90 -113.11135953 -112.66010810 -112.99925745 -112.77221017
1.7      4.00 -113.10192232 -112.67833362 -112.99344780 -112.78680814
1.7      4.10 -113.09264746 -112.69564565 -112.98801723 -112.80027589
1.7      4.20 -113.08359709 -112.71204320 -112.98295158 -112.81268871
1.7      4.40 -113.06633501 -112.74209244 -112.97394146 -112.83448598
1.7      4.60 -113.05034798 -112.76853593 -112.96631336 -112.85257055
1.7      4.80 -113.03571079 -112.79154308 -112.95987856 -112.86737531
1.7      5.00 -113.02241353 -112.81137791 -112.95444173 -112.87934971
1.7      5.20 -113.01039572 -112.82835721 -112.94982004 -112.88893289
1.7      5.40 -112.99957155 -112.84281451 -112.94586085 -112.89652521
1.7      5.60 -112.98984742 -112.85507546 -112.94244098 -112.90248189
1.7      5.80 -112.98113146 -112.86544246 -112.93946138 -112.90711254
1.7      6.00 -112.97333725 -112.87418697 -112.93684510 -112.91067912
1.7      7.00 -112.94557344 -112.90087332 -112.92749724 -112.91894952
1.7      8.00 -112.93088131 -112.91159503 -112.92187309 -112.92060325
1.7      9.00 -112.92384658 -112.91541171 -112.92079912 -112.91845917
1.7     10.00 -112.92130407 -112.91576932 -112.92075844 -112.91631495
1.7     12.00 -112.92065874 -112.91392250 -112.92065010 -112.91393114
1.7     14.00 -112.92061221 -112.91266121 -112.92061214 -112.91266128
1.7     16.00 -112.92059352 -112.91181489 -112.92059352 -112.91181489
1.7     18.00 -112.92058274 -112.91135052 -112.92058274 -112.91135052
1.7     20.00 -112.92057595 -112.91103695 -112.92057595 -112.91103695
          
1.8      2.10 -112.68666270 -112.10206100 -112.61573645 -112.17298725
1.8      2.20 -112.86704169 -112.28361766 -112.79518386 -112.35547549
1.8      2.30 -112.99687201 -112.41434440 -112.92589937 -112.48531704
1.8      2.40 -113.08984805 -112.50796267 -113.00704977 -112.59076094
1.8      2.50 -113.15609648 -112.57511810 -113.10271249 -112.62850209
1.8      2.60 -113.20226742 -112.62180830 -113.13543166 -112.68864406
1.8      2.70 -113.23361634 -112.65353758 -113.16182155 -112.72533236
1.8      2.80 -113.25391214 -112.67410013 -113.17673732 -112.75127495
1.8      2.90 -113.26593974 -112.68630370 -113.18310495 -112.76913849
1.8      3.00 -113.27178121 -112.69225112 -113.18306071 -112.78097162
1.8      3.10 -113.27301210 -112.69353647 -113.17834331 -112.78820526
1.8      3.20 -113.27083602 -112.69137939 -113.17037043 -112.79184498
1.8      3.30 -113.26617630 -112.68671670 -113.16007206 -112.79282094
1.8      3.40 -113.25973987 -112.68026726 -113.14806301 -112.79194412
1.8      3.50 -113.25036271 -112.66476069 -113.12474897 -112.79037443
1.8      3.60 -113.24191221 -112.68751598 -113.11860334 -112.81082485
