1.8      3.00 -113.21914850 -112.83852184 -113.11627576 -112.94139458    -0.16903641
1.8      3.10 -113.21507008 -112.83955798 -113.11281750 -112.94181055    -0.16715708
1.8      3.20 -113.21000670 -112.84080074 -113.10879244 -112.94201499    -0.16469542
1.8      3.30 -113.20424425 -112.84264018 -113.10449476 -112.94238966    -0.16161640
1.8      3.40 -113.19800373 -112.84546035 -113.09976165 -112.94370244    -0.15806040
1.8      3.50 -113.19145708 -112.84954080 -113.09461750 -112.94638038    -0.15405559
1.8      3.60 -113.18474060 -112.85491538 -113.08923478 -112.95042120    -0.14959568
1.8      3.70 -113.17796107 -112.86142103 -113.08389234 -112.95548976    -0.14466372
1.8      3.80 -113.17120013 -112.86880951 -113.07903604 -112.96097360    -0.13919532
1.8      3.90 -113.16451909 -112.87681896 -113.07456994 -112.96676811    -0.13336991
1.8      4.00 -113.15796337 -112.88520836 -113.07053570 -112.97263602    -0.12728997
1.8      4.10 -113.15156658 -112.89377199 -113.06692564 -112.97841293    -0.12106150
1.8      4.20 -113.14535321 -112.90234234 -113.06372109 -112.98397446    -0.11477670
1.8      4.40 -113.13354140 -112.91900731 -113.05836026 -112.99418845    -0.10235582
1.8      4.60 -113.12260664 -112.93449974 -113.05418619 -113.00292019    -0.09049310
1.8      4.80 -113.11256829 -112.94848049 -113.05087761 -113.01017117    -0.07947923
1.8      5.00 -113.10341064 -112.96084888 -113.04821080 -113.01604872    -0.06944325
1.8      5.20 -113.09509958 -112.97164473 -113.04602309 -113.02072122    -0.06041712
1.8      5.40 -113.08759190 -112.98098153 -113.04420005 -113.02437338    -0.05237526
1.8      5.60 -113.08083974 -112.98900450 -113.04266128 -113.02718297    -0.04526072
1.8      5.80 -113.07479266 -112.99586623 -113.04132956 -113.02932933    -0.03900441
1.8      6.00 -113.06939892 -113.00171360 -113.04017061 -113.03094191    -0.03352661
1.8      7.00 -113.05045632 -113.01998145 -113.03601482 -113.03442295    -0.01521663
1.8      8.00 -113.04084620 -113.02759925 -113.03496510 -113.03348035    -0.00658174

1.9      0.20 -111.46423749 -111.08219685 -111.46205034 -111.08438400     0.02882351
1.9      0.60 -111.29279352 -110.98434362 -111.29257495 -110.98456219    -0.00820803
1.9      1.00 -111.52424167 -111.27683781 -111.50114786 -111.29993162    -0.07197342
1.9      1.40 -112.37435134 -112.05901460 -112.31708538 -112.11628056    -0.12156756
1.9      1.60 -112.71609819 -112.38097021 -112.65572986 -112.44133853    -0.12878967
1.9      1.80 -112.95476418 -112.60874571 -112.89201270 -112.67149719    -0.13332450
1.9      2.00 -113.10807642 -112.75549824 -113.04248827 -112.82108639    -0.13719747
1.9      2.10 -113.16030975 -112.80545086 -113.09207234 -112.87368828    -0.13985102
1.9      2.20 -113.19997751 -112.84334381 -113.12838054 -112.91494078    -0.14285575
1.9      2.30 -113.22944383 -112.87147400 -113.15433897 -112.94657886    -0.14575505
1.9      2.40 -113.25070140 -112.89182432 -113.17167247 -112.97085326    -0.14871483
1.9      2.50 -113.26541690 -112.90607521 -113.18197364 -112.98951846    -0.15172957
1.9      2.60 -113.27497079 -112.91565656 -113.18664805 -113.00397930    -0.15470847
1.9      2.70 -113.28037847 -112.92168264 -113.18872854 -113.01333257    -0.15644404
1.9      2.80 -113.28252257 -112.92504711 -113.18911830 -113.01845138    -0.15705215
1.9      2.90 -113.28215940 -112.92655390 -113.18816297 -113.02055033    -0.15681300
1.9      3.00 -113.27987932 -112.92688723 -113.18546240 -113.02130415    -0.15624939
1.9      3.10 -113.27615272 -112.92662226 -113.18194202 -113.02083296    -0.15509304
1.9      3.20 -113.27135694 -112.92623046 -113.17801602 -113.01957137    -0.15330328
1.9      3.30 -113.26579283 -112.92610641 -113.17376430 -113.01813495    -0.15096885
1.9      3.40 -113.25969567 -112.92664482 -113.16910525 -113.01723523    -0.14820456
1.9      3.50 -113.25324880 -112.92822152 -113.16392973 -113.01754059    -0.14509734
1.9      3.60 -113.24659792 -112.93103345 -113.15840951 -113.01922187    -0.14160485
1.9      3.70 -113.23985880 -112.93505451 -113.15260905 -113.02230425    -0.13777365
1.9      3.80 -113.23312109 -112.94013324 -113.14709049 -113.02616384    -0.13343409
1.9      3.90 -113.22645226 -112.94607710 -113.14186663 -113.03066273    -0.12868947
1.9      4.00 -113.21990170 -112.95268524 -113.13702413 -113.03556281    -0.12360243
1.9      4.10 -113.21350490 -112.95975789 -113.13271078 -113.04055202    -0.11820988
1.9      4.20 -113.20728698 -112.96710588 -113.12888914 -113.04550372    -0.11262086
1.9      4.40 -113.19545296 -112.98199644 -113.12260614 -113.05484325    -0.10120756
1.9      4.60 -113.18448200 -112.99638968 -113.11782821 -113.06304348    -0.08996854
1.9      4.80 -113.17439930 -113.00972489 -113.11414667 -113.06997752    -0.07932016
1.9      5.00 -113.16519482 -113.02173512 -113.11127213 -113.07565781    -0.06948436
1.9      5.20 -113.15683837 -113.03234816 -113.10895946 -113.08022707    -0.06056455
1.9      5.40 -113.14928902 -113.04160672 -113.10706035 -113.08383539    -0.05257394
1.9      5.60 -113.14249998 -113.04961261 -113.10549083 -113.08662175    -0.04547533
1.9      5.80 -113.13642116 -113.05649206 -113.10416747 -113.08874575    -0.03921362
1.9      6.00 -113.13100071 -113.06237615 -113.10302446 -113.09035239    -0.03372221
1.9      7.00 -113.11197477 -113.08089243 -113.09904663 -113.09382057    -0.01531992
1.9      8.00 -113.10225074 -113.08878768 -113.09668560 -113.09435282    -0.00662971

2.0      0.20 -111.73691220 -111.37620402 -111.73634348 -111.37677274    0.01431142
2.0      0.60 -111.57552129 -111.28887201 -111.57538927 -111.28900404   -0.00615040
2.0      1.00 -111.69085770 -111.47050146 -111.67061633 -111.49074282   -0.06364431
2.0      1.40 -112.41875043 -112.13708460 -112.36459941 -112.19123562   -0.11099621
2.0      1.60 -112.74103633 -112.44003411 -112.69002857 -112.49104187   -0.11292323
2.0      1.80 -112.97528945 -112.66340178 -112.91776921 -112.72092202   -0.12095982
2.0      2.00 -113.12981838 -112.81097243 -113.07136640 -112.86942441   -0.12337157
2.0      2.10 -113.18340541 -112.86198524 -113.12321605 -112.92217460   -0.12539265
2.0      2.20 -113.22452638 -112.90099390 -113.16227282 -112.96324747   -0.12753644
2.0      2.30 -113.25539074 -112.93014400 -113.19040537 -112.99512937   -0.13005069
2.0      2.40 -113.27792095 -112.95132262 -113.20980901 -113.01943456   -0.13268764
2.0      2.50 -113.29374767 -112.96616621 -113.22197002 -113.03794386   -0.13550275
2.0      2.60 -113.30427022 -112.97610245 -113.22728805 -113.05308462   -0.13905687
2.0      2.70 -113.31060839 -112.98237993 -113.22859345 -113.06439486   -0.14210273
2.0      2.80 -113.31344526 -112.98569474 -113.22984944 -113.06929056   -0.14286467
2.0      2.90 -113.31363917 -112.98689496 -113.22895457 -113.07157956   -0.14317375
2.0      3.00 -113.31180556 -112.98666791 -113.22666090 -113.07181257   -0.14294797
2.0      3.10 -113.30843090 -112.98558520 -113.22327249 -113.07074361   -0.14227112
2.0      3.20 -113.30390606 -112.98411797 -113.21945845 -113.06856558   -0.14097497
2.0      3.30 -113.29854448 -112.98265710 -113.21522995 -113.06597163   -0.13920021
2.0      3.40 -113.29259395 -112.98157273 -113.21064532 -113.06352136   -0.13701162
2.0      3.50 -113.28624815 -112.98125084 -113.20556725 -113.06193174   -0.13452899
2.0      3.60 -113.27966086 -112.98198240 -113.20002151 -113.06162175   -0.13177440
2.0      3.70 -113.27295550 -112.98384598 -113.19418346 -113.06261802   -0.12871951
2.0      3.80 -113.26622909 -112.98675257 -113.18822563 -113.06475603   -0.12536186
2.0      3.90 -113.25955602 -112.99055082 -113.18241757 -113.06768927   -0.12165650
2.0      4.00 -113.25299208 -112.99509099 -113.17687162 -113.07121146   -0.11763173
2.0      4.10 -113.24657816 -113.00024372 -113.17171916 -113.07510271   -0.11329819
2.0      4.20 -113.24034292 -113.00589147 -113.16703724 -113.07919716   -0.10868717
2.0      4.40 -113.22847704 -113.01816626 -113.15926668 -113.08737661   -0.09882110
2.0      4.60 -113.21747182 -113.03084844 -113.15343359 -113.09488666   -0.08860099
2.0      4.80 -113.20735089 -113.04310021 -113.14906839 -113.10138271   -0.07858810
2.0      5.00 -113.19810798 -113.05445091 -113.14568578 -113.10687311   -0.06915730
2.0      5.20 -113.18971605 -113.06467920 -113.14310300 -113.11129224   -0.06046133
2.0      5.40 -113.18213605 -113.07372362 -113.14106254 -113.11479714   -0.05259131
2.0      5.60 -113.17532234 -113.08161855 -113.13940906 -113.11753183   -0.04555707
2.0      5.80 -113.16922540 -113.08844816 -113.13804287 -113.11963070   -0.03932542
2.0      6.00 -113.16379358 -113.09431754 -113.13689202 -113.12121910   -0.03384258
2.0      7.00 -113.14480464 -113.11289755 -113.13302791 -113.12467428   -0.01539707
2.0      8.00 -113.13524604 -113.12078287 -113.13081793 -113.12521098   -0.00666606

2.1      0.20 -111.95701418 -111.61452822 -111.95656877 -111.61497363    0.01234294
2.1      0.60 -111.80832391 -111.53988676 -111.80821372 -111.53999695   -0.00543750
2.1      1.00 -111.83989094 -111.64173649 -111.82242888 -111.65919854   -0.05617171
2.1      1.40 -112.45248408 -112.20032598 -112.40143911 -112.25137095   -0.10132035
2.1      1.60 -112.75239196 -112.48174253 -112.69906326 -112.53507123   -0.10765423
2.1      1.80 -112.97889947 -112.69764262 -112.92629038 -112.75025171   -0.10967658
2.1      2.00 -113.13292728 -112.84474948 -113.08034649 -112.89733028   -0.11130085
2.1      2.10 -113.18733722 -112.89651244 -113.13434559 -112.94950407   -0.11226382
2.1      2.20 -113.22954176 -112.93648275 -113.17557687 -112.99044764   -0.11359000
2.1      2.30 -113.26155554 -112.96662053 -113.20595702 -113.02221905   -0.11535491
2.1      2.40 -113.28518585 -112.98869327 -113.22731325 -113.04656587   -0.11751408
2.1      2.50 -113.30200631 -113.00425933 -113.24131303 -113.06495261   -0.11994819
2.1      2.60 -113.31336629 -113.01468706 -113.24897544 -113.07907792   -0.12282520
2.1      2.70 -113.32061807 -113.02144459 -113.24800830 -113.09405435   -0.12826043
2.1      2.80 -113.32411475 -113.02495821 -113.25015248 -113.09892048   -0.12905766
2.1      2.90 -113.32484585 -113.02612949 -113.25016554 -113.10080980   -0.12934868
2.1      3.00 -113.32344847 -113.02566356 -113.24804576 -113.10106627   -0.12949216
2.1      3.10 -113.32042133 -113.02413026 -113.24508634 -113.09946525   -0.12901831
2.1      3.20 -113.31616707 -113.02200358 -113.24133457 -113.09683608   -0.12811357
2.1      3.30 -113.31101026 -113.01967667 -113.23700755 -113.09367938   -0.12681906
2.1      3.40 -113.30520998 -113.01749944 -113.23242758 -113.09028185   -0.12507192
2.1      3.50 -113.29897008 -113.01582912 -113.22741130 -113.08738790   -0.12304699
2.1      3.60 -113.29245153 -113.01499265 -113.22193124 -113.08551295   -0.12080302
2.1      3.70 -113.28578360 -113.01516543 -113.21607929 -113.08486974   -0.11834087
2.1      3.80 -113.27906923 -113.01633470 -113.21001969 -113.08538424   -0.11564540
2.1      3.90 -113.27238821 -113.01837361 -113.20384954 -113.08691228   -0.11274872
2.1      4.00 -113.26580108 -113.02112407 -113.19785971 -113.08906544   -0.10957947
2.1      4.10 -113.25935311 -113.02444542 -113.19208294 -113.09171560   -0.10619325
2.1      4.20 -113.25307769 -113.02823348 -113.18662743 -113.09468373   -0.10259298
2.1      4.40 -113.24113317 -113.03696363 -113.17699053 -113.10110627   -0.09477180
2.1      4.60 -113.23007585 -113.04692961 -113.16943730 -113.10756817   -0.08618985
2.1      4.80 -113.21992309 -113.05747638 -113.16391989 -113.11347958   -0.07720866
2.1      5.00 -113.21064954 -113.06776916 -113.15986904 -113.11854966   -0.06838770
2.1      5.20 -113.20222712 -113.07733060 -113.15685998 -113.12269774   -0.06006680
2.1      5.40 -113.19462090 -113.08596714 -113.15456109 -113.12602695   -0.05242004
2.1      5.60 -113.18778744 -113.09362070 -113.15275908 -113.12864906   -0.04551396
2.1      5.80 -113.18167817 -113.10031193 -113.15131408 -113.13067602   -0.03935269
2.1      6.00 -113.17624181 -113.10610485 -113.15013089 -113.13221577   -0.03390517
2.1      7.00 -113.15734568 -113.12459404 -113.14635793 -113.13558179   -0.01546403
2.1      8.00 -113.14806349 -113.13234299 -113.14431088 -113.13609560   -0.00670156

2.13      0.20 -112.01873990 -111.68151863 -112.01832932 -111.68192921    0.01175958
2.13      0.60 -111.87440218 -111.61114370 -111.87429353 -111.61125235   -0.00534712
2.13      1.00 -111.88464560 -111.69270748 -111.86804664 -111.70930645   -0.05394858
2.13      1.40 -112.46200710 -112.21852474 -112.41200017 -112.26853167   -0.09836215
2.13      1.60 -112.75404346 -112.49235761 -112.70185177 -112.54454929   -0.10456507
2.13      1.80 -112.97757536 -112.70544716 -112.92644154 -112.75658098   -0.10630281
2.13      2.00 -113.13107370 -112.85210857 -113.08042693 -112.90275534   -0.10753412
2.13      2.10 -113.18563014 -112.90403276 -113.13484401 -112.95481888   -0.10826823
2.13      2.20 -113.22809828 -112.94426609 -113.17662069 -112.99574368   -0.10936661
2.13      2.30 -113.26042370 -112.97470176 -113.20766297 -113.02746249   -0.11086570
2.13      2.40 -113.28436869 -112.99706395 -113.22965516 -113.05177747   -0.11280907
2.13      2.50 -113.30148209 -113.01288183 -113.24424648 -113.07011744   -0.11507517
2.13      2.60 -113.31309690 -113.02350064 -113.25254839 -113.08404915   -0.11776460
2.13      2.70 -113.32062193 -113.03044093 -113.25096801 -113.10009484   -0.12393779
2.13      2.80 -113.32432030 -113.03405802 -113.25344140 -113.10493693   -0.12469825
2.13      2.90 -113.32521937 -113.03526883 -113.25370225 -113.10678595   -0.12498691
2.13      3.00 -113.32395965 -113.03478226 -113.25192671 -113.10681519   -0.12506619
2.13      3.10 -113.32104295 -113.03316710 -113.24905547 -113.10515458   -0.12466459
2.13      3.20 -113.31687529 -113.03089827 -113.24533372 -113.10243984   -0.12385898
2.13      3.30 -113.31178455 -113.02836985 -113.24099908 -113.09915532   -0.12268276
2.13      3.40 -113.30603319 -113.02592798 -113.23638776 -113.09557341   -0.12106842
2.13      3.50 -113.29982831 -113.02391818 -113.23135576 -113.09239074   -0.11917962
2.13      3.60 -113.29333317 -113.02266854 -113.22587608 -113.09012563   -0.11708027
2.13      3.70 -113.28667865 -113.02238088 -113.22002547 -113.08903405   -0.11477648
2.13      3.80 -113.27996936 -113.02307385 -113.21394834 -113.08909487   -0.11225742
2.13      3.90 -113.27328668 -113.02463649 -113.20770557 -113.09021760   -0.10957131
2.13      4.00 -113.26669252 -113.02691090 -113.20163631 -113.09196711   -0.10661600
2.13      4.10 -113.26023320 -113.02974656 -113.19573644 -113.09424331   -0.10346888
2.13      4.20 -113.25394299 -113.03302658 -113.19010372 -113.09686585   -0.10013835
2.13      4.40 -113.24196219 -113.04064591 -113.17996577 -113.10264233   -0.09293725
2.13      4.60 -113.23087017 -113.04948016 -113.17174862 -113.10860170   -0.08502176
2.13      4.80 -113.22070044 -113.05920630 -113.16562328 -113.11428346   -0.07655811
2.13      5.00 -113.21142184 -113.06904545 -113.16125955 -113.11920773   -0.06801228
2.13      5.20 -113.20299350 -113.07832779 -113.15806551 -113.12325578   -0.05985362
2.13      5.40 -113.19538050 -113.08678344 -113.15565348 -113.12651045   -0.05230680
2.13      5.60 -113.18854142 -113.09432390 -113.15378302 -113.12908230   -0.04546102
2.13      5.80 -113.18242865 -113.10094656 -113.15229897 -113.13107624   -0.03933487
2.13      6.00 -113.17699124 -113.10669872 -113.15109627 -113.13259369   -0.03390683
2.13      7.00 -113.15812817 -113.12512739 -113.14733636 -113.13591921   -0.01548144
2.13      8.00 -113.14893842 -113.13282443 -113.14533929 -113.13642356   -0.00671138

2.2      0.20 -112.13619183 -111.80917653 -112.13584525 -111.80952312    0.01064041
2.2      0.60 -112.00115169 -111.74780015 -112.00105136 -111.74790049   -0.00504091
